TWEET,BELIEF,CONFIDENCE
climate change sustainability will be a key driver of future economic development listen at link,Yes,0.7874
frederic hague at pen climate change isn t just a alarm bell it s a whole blinking discotech,Yes,0.5778
us generals say climate change threatens america s security the pentagon has made it well known that it consider link,Yes,1
even the generals know climate change is going to screw us link,Yes,1
government report says global warming may cause cancer mental illness link,Yes,0.6224
rt user climate change increases heat waves floods epa link,Yes,0.8157
rt user plants remain an effective way of tackling global warming link,Yes,1
so far in that class i have gotten into heated discussion with global climate change denier and w student that nothing is their fault,Yes,1
rt user global warming kills forests in colorado link,Yes,1
epa confirms climate is changing in another display of the sea change that has occurred at the us environmental p link,Yes,1
must see places before they disappear europe pics if global warming predictions prove to be true the foll link,Yes,0.7853
rt user combating climate change lessons from the world s indigenous peoples link,Yes,0.8275
user i live in ct please support the climate bill and strong action on climate change,Yes,1
rt user james hansen heather rogers green gone wrong false hope real solutions to climate change 7pm 4 3 link,Yes,0.7949
climate change forests not for absorbing carbon say activists link,Yes,0.6021
climate change forests not for absorbing carbon say activists link,Yes,0.5763
climate change melts two glaciers billings mont glacier national park has lost two more of its namesake link,Yes,1
climate change forests not for absorbing carbon say activists link,Yes,0.8243
climate change forests not for absorbing carbon say activists link,Yes,0.6065
climate change forests not for absorbing carbon link,Yes,1
rt user what beautiful fall weather this morning new york thanks climate change bleh,Yes,0.5857
what beautiful fall weather this morning new york thanks climate change bleh,Yes,0.6105
climate change threatens japan s cherry blossoms environment if you aren t familiar with the culture japan link,Yes,1
wed user podcast mountain vs valley temps stretch apart with climate change link,Yes,1
mountain vs valley temps stretch apart with climate change link,Yes,0.8166
climate change forests not for absorbing carbon say activists link,Yes,0.6329
global warming report urges governments to act brussels belgium ap the world faces increased hunger and link,Yes,1
arctic rain in april is sign of global warming the canadian arctic has been hit by rain in a sign that the link,Yes,1
arctic rain in april is sign of global warming the canadian arctic has been hit by rain in a sign that the link,Yes,1
rt user global warming kills forests in colorado link,Yes,1
microbes contribute less to global warming new haven conn link,Yes,0.6448
microbes contribute less to global warming new haven conn link,Yes,0.8133
south asian nations to fight climate change foreign ministers of eight south asian nations met in this secluded h link,Yes,0.5862
climate change increases heat waves floods washington reuters deaths from heat waves property damage from link,Yes,1
james hansen heather rogers green gone wrong false hope real solutions to climate change 7pm 4 3 user link,Yes,0.5699
i love frog s leap seriously rt user what climate change means for the wine industry via user link,Yes,0.819
report save the whales and they ll save us from global warming link,Yes,0.823
arctic beauty in black and white alaska before the effects of global warming slide show toward the end of wor link,Yes,1
epa report documents very real impacts from climate change in 22 of 24 indicators studied link,Yes,1
canadian ceos more keen on green than global counterparts preparing for impacts of climate change link,Yes,0.7896
rt user ask the g8 g2 to support biochar fight climate change food shortage check this huffpo post link,Yes,0.617
rt user whale doodoo could help fight climate change sure why not link,Yes,0.7868
global warming science good news soils release less carbon than though as world warms link,Yes,0.8236
so it s april 27th phoenix has 9 weather it might snow in new york today hmmmm global warming much,Yes,0.7863
higher temperature sea level due to global warming kuala lumpur malaysia s average temperature has risen by 1 1 link,Yes,1
higher temperature sea level due to global warming kuala lumpur malaysia s average temperature has risen by 1 1 link,Yes,1
cleaner air could speed global warming hugh pickens writes scientists estimate that the us clean air act has cut link,Yes,0.7835
person 1 snow then 65 degrees on the same day weather doesn t even surprise me anymore person 2 that s why global warming will win,Yes,0.8121
rt user global warming kills forests in colorado link,Yes,1
rt user alaska before the effects of global warming pics link,Yes,1
realdocwatson on global warming go to antarctica and stake a claim now it will be like florida in a few years,Yes,0.774
how much trouble does global warming mean for agriculture just ask the wine industry link,Yes,1
arctic beauty in black and white alaska before the effects of global warming slide show link,Yes,1
climate change from paris to the alps european places in peril photos link,Yes,1
m report cleaner air could actually intensify global warming as much of the world marked earth day this past week the environmental,Yes,0.8018
rt user global warming kills forests in colorado link,Yes,1
global warming is a threat after all tim blair rounds up the latest news from the wild frontiers of global link,Yes,1
kuna indians prepare for relocation as traditional homes sink due to climate change link,Yes,1
how global warming is killing california s wine buzz dr kimberley cahill presented on climate change in califor link,Yes,1
global warming ocean chemistry is changing faster than it has in 8 years and that s because of the carbon link,Yes,1
global warming ocean chemistry is changing faster than it has in 8 years and that s because of the carbon link,Yes,1
good going douche i m sure there is no climate change in your backass world graham move imperils obama agenda link,Yes,0.8017
ski resorts fight global warming salt lake city ap ski resorts across the u s are using this thanksgiving link,Yes,1
ski resorts fight global warming salt lake city ap ski resorts across the u s are using this thanksgiving link,Yes,1
bats birds and lizards can fight climate change by eating insects birds bats and lizards may play an important link,Yes,0.8149
rt user make it green cloud computing and its contribution to climate change link,Yes,0.6484
rt user climate change favors invasive species over indigenous ones 3 of plants thoreau saw are now extinct link,Yes,1
scary rt user climate change altering u s seasons spring 1 days early link,Yes,1
rt user global warming kills forests in colorado link,Yes,1
mediaglobal report on special tipping point earth day event science and art mobilize to fight climate change link,Yes,0.7884
global warming kills forests in colorado link,Yes,1
combating climate change lessons from the world s indigenous peoples when i arrived at the united nations climat link,Yes,0.599
africa meteorology services gear up for climate change on the continent most vulnerable to climate c link,Yes,0.8814
china the key to fixing global warming with rapid expansion comes sizable environmental impact so the world s link,Yes,1
china the key to fixing global warming with rapid expansion comes sizable environmental impact so the world s link,Yes,0.776
now on pbs going green new york examining how new yorkers are confronting climate change check local listings link,Yes,1
official nasa report sun causes climate change link,Yes,1
rt user rt user well this is just crazy coal ceo calls mine safety rules as silly as global warming link,Yes,0.6584
rt user impacts of climate change extend to human health link,Yes,1
impacts of climate change extend to human health link,Yes,1
alpha phi alpha takes on climate change and energy efficiency link,Yes,0.8256
natural variability does not explain global warming climate scientists tell popular tv meteorologist link,Yes,0.634
rebecca solnit 35 degrees of inseparability the good news about the very bad news about climate change link,Yes,0.6458
watch video climate change threatens sacred tibetan mountain including land known as shangri la link,Yes,1
african meteorology services gear up for climate change america gov iri link,Yes,0.5944
economists say climate change is bad for economy link,Yes,0.7866
economists say climate change is bad for economy link,Yes,0.646
report allergy season to get worse with climate change time com link,Yes,0.817
don t kill bill save the climate change accountability act link,Yes,1
rt user climate change makes farmers pastoralists in ethiopia increasingly vulnerable link,Yes,0.5976
denis hayes founder of earth day compares global climate change to irish famine irishcentral news weather politics link,Yes,0.6359
rt user climate change makes farmers pastoralists in ethiopia increasingly vulnerable link,Yes,1
its earthday be aware of what you consume waste how you treat this place we only have 1 as we can see global warming is in effect,Yes,1
earth day ben verwaayen on what we re doing to curb climate change link,Yes,0.8136
health u s and other industrial nations already feel impacts of climate change report link,Yes,1
health u s and other industrial nations already feel impacts of climate change report link,Yes,0.8078
health u s and other industrial nations already feel impacts of climate change report link,Yes,0.8221
health u s and other industrial nations already feel impacts of climate change report link,Yes,1
1 first steps to greener living it all seems so daunting climate change carbon credits not to mention biofuel link,Yes,0.6015
climate change could raise cost of u s allergies reuters link,Yes,0.5851
treating climate change as a curable disease bioethicists and international law experts met in asilomar later las link,Yes,0.596
well this is just crazy coal ceo calls mine safety rules as silly as global warming link,Yes,1
military leads fight against climate change link,Yes,0.8037
military leads fight against climate change the u s military the government s largest fuel buyer is leading th link,Yes,0.8201
1 first steps to greener living it all seems so daunting climate change carbon credits not to mention biofuel link,Yes,0.5685
swedish expert says co2 is not the main cause of global warming swedish climate expert dr fred goldberg has said link,Yes,0.6099
fighting poverty and global warming in africa link,Yes,1
rt user treating climate change as a curable disease wired science wired com green link,Yes,0.5973
thursday on pbs going green new york examining how new yorkers are confronting climate change check local listings link,Yes,1
un only global cooperation can prevent runaway climate change secretary the united nations seeks dialogue i link,Yes,1
carbon offsets how a vatican forest failed to reduce global warming link,Yes,1
carbon offsets how a vatican forest failed to reduce global warming link,Yes,1
rt user most important event in struggle against climate change nigerian environmentalist nnimmo bassey link,Yes,1
military leads fight against climate change pew link,Yes,1
report identifies 11 diseases health issues affctd by climate change once u inclde mental health evrything s stake link,Yes,0.7808
for earth day resources on coping with climate change link,Yes,1
ocean saltiness shows global warming is intensifying our water cycle link,Yes,1
ocean saltiness shows global warming is intensifying our water cycle link,Yes,1
rt user user i support world people s conf on climate change in cochabamba bolivia watch live link,Yes,0.8046
barrett better to have lots of small protocols on climate change than pushing for one comprehensive one,Yes,1
topography of mountains could complicate rates of global warming link,Yes,1
rt user i support the world people s conference on climate change in cochabamba bolivia watch live now at link,Yes,0.6141
many global issues require universal co operation to address e g smallpox ozone layer climate change,Yes,0.5849
rt user boiling point containing the spill over of climate change in the indian subcontinent a link,Yes,0.5362
no link now between eyjafjallaj kull and climate change but a warming world could trigger earthquakes landslides link,Yes,0.6195
uruguay tools needed for those most vulnerable to climate change link,Yes,0.8168
uruguay tools needed for those most vulnerable to climate change link,Yes,0.8033
uruguay tools needed for those most vulnerable to climate change link,Yes,0.8133
carbon offsets how a vatican forest failed to reduce global warming link,Yes,1
carbon offsets how a vatican forest failed to reduce global warming link,Yes,0.7937
ethiopia climate change increasing poverty and vulnerability link,Yes,1
ethiopia climate change increasing poverty and vulnerability small scale farmers and pastoralists i link,Yes,1
rt user the most important event in the struggle against climate change nigerian environmentalist nnimmo bassey on link,Yes,0.8272
the most important event in the struggle against climate change nigerian environmentalist nnimmo bassey on link,Yes,0.8148
rt user rt user ocean saltiness shows global warming is intensifying our water cycle link,Yes,1
rt user backgrounder china s major policies to tackle climate change since year 2 link,Yes,0.5833
uw biologist links early blooms to global warming associated press april 21 2 1 6 15 am et stevens point link,Yes,0.8026
uw biologist links early blooms to global warming associated press april 21 2 1 6 15 am et stevens point link,Yes,0.8125
global warming evidence all around us a message to global warming deniers and doubters just look around our link,Yes,1
global warming evidence all around us a message to global warming deniers and doubters just look around our link,Yes,1
global warming evidence all around us a message to global warming deniers and doubters just look around our link,Yes,1
will global warming make iceland s volcanoes angry melting glaciers around the world could trigger a global link,Yes,1
will global warming make iceland s volcanoes angry melting glaciers around the world could trigger a global link,Yes,0.6167
climate change could nyc get katrina like flood in a warmer wetter future sea level rise of 2 feet in 7 yrs link,Yes,0.7732
climate change geologists drill into antarctica find troubling signs 4 ice sheets future melt could come fast link,Yes,1
either capitalism dies or mother earth does evo morales claims in the people s world conference on climate change link,Yes,0.8205
rt user rt user yet another gift from global warming increased allergy attacks link,Yes,1
africa time bomb awaiting africa there is no doubt that climate change as an environmental issue ha link,Yes,1
buying carbon offsets may ease eco guilt but not global warming link,Yes,0.6772
rt user all eyes on cochabamba those alrdy suffering from global warming ll havechancetospeakout link,Yes,1
migratory birds new climate change strategy stay home link,Yes,0.7887
on ocean floor populations of organisms despite little oxygen global warming cause oxygen depletion reduce biodiversity link,Yes,1
join us for a discussion on earth day 4 22 climate change food security irreversible destiny link,Yes,0.7789
pat mooney on the dangers of geoengineering and manipulating the planet to combat climate change link,Yes,0.605
seasonal allergies getting worse from climate change link,Yes,1
just because i believe in global warming peeps thinks i should believe in god instead why,Yes,1
seasonal allergies getting worse from climate change link,Yes,0.6652
seasonal allergies getting worse from climate change link,Yes,1
user i advise everyone who thinks global warming is dead to buy oceanfront property and live there see ya,Yes,1
global warming melting ice caps could help trigger more volcanic eruptions link,Yes,1
mary ellen harte and john harte addressing climate change winning the war on sustainability at its heart clim link,Yes,0.7923
rt user state dept declares global warming unequivocal and primarily human induced link,Yes,0.6131
increasingly corporations are concluding climate change is real betting on climate change wired com link,Yes,0.5843
right on richard branson s earthday message 2 biz get ur house in order fight global warming green eco link,Yes,0.7916
meat wise cynthia bateman on meat wise monday how animal agriculture makes global warming worse link,Yes,1
global warming melting ice caps could help trigger more volcanic eruptions link,Yes,0.6037
state dept declares global warming unequivocal and primarily human induced link,Yes,0.6063
global warming melting ice caps could trigger more volcanic eruptions link,Yes,1
user hey we came up with all kinds of ideas for fixing global warming loved my environmentalism class sighs,Yes,1
an overview of the green car revolution going green the increasing awareness about the threat of global warming link,Yes,1
southern africa competing for limpopo water climate change will bring higher temperatures to southe link,Yes,0.8113
2nd eruption of hekla in iceland let s call 2 1 the year the earth struck back this is for global warming and this is for oil spills,Yes,1
rt user climate change places to see before they disappear the americas photos link,Yes,1
rt user bishop lane episcopal dio of maine climate change most important issue of our time bangor daily nws link,Yes,0.8036
cool it global warming is bad enough without you heating things up in the interest of honest discussion can we link,Yes,1
rt user rt user climate change migration patterns have changed for 2 billion birds link,Yes,1
rt user climate change places to see before they disappear the americas photos link,Yes,0.7973
volcanic ash cloud global warming may trigger more volcanoes climate change could spark more hazardous link,Yes,1
volcanic ash cloud global warming may trigger more volcanoes climate change could spark more hazardous link,Yes,0.814
just briefed on global cooling volcanoes via user but i wonder if it gets to the stratosphere can it slow improve global warming,Yes,0.7834
climate change ing your allergies link,Yes,0.6015
rt user climate change places to see before they disappear the americas photos link,Yes,1
rt user rt user rt user climate change deniers bobby jindal mocked volcano warnings read the papers lately start thinking for yourselves,Yes,0.5904
rt user cara mertes at tedxvolcano we re all stranded this weekend and we re getting a sneak preview of climate change we have to adapt,Yes,0.8233
larry brilliant at tedxvolcano we have to fight for science the single most important thing we face is climate change socmedia user,Yes,0.8105
larry brilliant at tedxvolcano we have to fight for science the single most important thing we face is climate change socent green,Yes,1
damn man that ash cloud in europe is crazy they say due to global warming with the volcano activating getting crazy,Yes,0.7788
rt user larry brilliant at tedxvolcano climate change is exacerbating all other crises of our age but climate science is now under attack,Yes,0.8451
rt user climate change places to see before they disappear the americas photos link,Yes,1
global warming to impact wheat rice production in india ludhiana apr 18 scarcity of water will have a serious link,Yes,1
global warming causes volcano eruptions by jonah goldberg from reuters oslo reuters a thaw of iceland s link,Yes,0.794
global warming to impact wheat rice production in india ludhiana apr 18 scarcity of water will have a serious link,Yes,1
climate change volcanic activity ice cap thaw may awaken icelandic volcanoes link,Yes,0.7738
no rain in the amazon how south america s climate change affects entire planet interview of nikolas kozloff vid link,Yes,1
climate change places to see before they disappear the americas photos link,Yes,0.8176
rt user hmmm they rather buried the lede here iceland glaciers melt from global warming then volcanoes go off link,Yes,0.7959
not sure if this is consensus but scientist warns climate change will lead to more volcano crises due to melting ice link,Yes,0.617
wishing i was in cochabamba at the people s world conference on climate change and the rights of mother earth user,Yes,0.8121
i feel that already rt user climate change making seasonal allergies worse near record highs this spring link,Yes,1
rt user climate change making seasonal allergies worse near record highs this spring link,Yes,1
like icelandic volcanic eruptions disrupting your air travel climate change glacier thaw more of it link,Yes,1
cochabamba summit offers new approach to combating climate change link,Yes,0.7951
climate change is making you sneeze link,Yes,1
environment climate of change from something as simple as reminding computer users to power down when not workin link,Yes,0.5934
professor s perspective reasons to be concerned about climate change spring in connecticut brings renewal link,Yes,1
the need to switch to renewable energy climate scientists have long warned us that global warming is accelerating link,Yes,1
the need to switch to renewable energy climate scientists have long warned us that global warming is accelerating link,Yes,1
climate change culprit for off the charts pollen counts link,Yes,0.8164
coalition of the tired of waiting fighting climate change at ground level link,Yes,0.8205
allergy season to worsen with climate change report a new report released on wednesday by the national wildlife link,Yes,1
coalition of the tired of waiting fighting climate change at ground level link,Yes,1
how do we solve this global warming thing link,Yes,0.7997
coalition of the tired of waiting fighting climate change at ground level link,Yes,0.8731
coalition of the tired of waiting fighting climate change at ground level link,Yes,0.7796
coalition of the tired of waiting fighting climate change at ground level link,Yes,0.6111
how do we solve this global warming thing link,Yes,1
how do we solve this global warming thing link,Yes,0.8182
report allergy season to get worse with climate change time com link,Yes,0.8033
cute i mention global warming and a denialist sends me a link to a finnish newspaper article purportedly refuting it,Yes,0.7862
is nationalizing the energy industry necessary to fight global warming link,Yes,0.7995
blog a preliminary analysis suggests that natural gas could contribute far more to global warming than previously link,Yes,1
iceland volcano not likely to slow global warming a vast cloud from an intensifying volcanic eruption in iceland link,Yes,1
iceland volcano not likely to slow global warming a vast cloud from an intensifying volcanic eruption in iceland link,Yes,1
reading from user allergies worse than ever blame global warming link,Yes,1
2 3rds of tbaggers don t think climate change is a serious problem as i said they re ignorant,Yes,1
missing heat may affect future climate change link,Yes,0.5899
climate change building a green economy link,Yes,1
climate change threatening glacier national park and montana s economy examiner com link,Yes,0.798
new york climate change could raise cost of allergies link,Yes,0.5979
ecotone climate change from a population perspective link,Yes,0.581
climate change blamed as coastal whale migration dwindles ventura county link,Yes,0.8767
think your allergies are bad now wait until climate change kicks in michig link,Yes,1
exclusive climate change could raise cost of u s allergies reuters link,Yes,0.8037
spring storm season starting a little late this year must be global warming,Yes,0.6128
kenya extreme weather tests pastoralist perceptions the effects of climate change such as drought link,Yes,0.7933
climate change is not just about the climate it is about our lives treehugger link,Yes,1
all 3 major league baseball teams throw curve to climate change deniers link,Yes,0.6015
climate change 1 endangered places and how to save them newsweek link,Yes,0.8172
tip of the day plant one tree on your birthday plants absorb co2 which helps reduce global warming,Yes,1
united states must lead on climate change kerry climate and energy bill has multiple benefits green link,Yes,0.7759
green net how the internet computing can fight climate change link,Yes,0.7693
green net how the internet computing can fight climate change the internet software computing link,Yes,1
leaked u s document calls for global regime to tackle climate change link,Yes,0.6042
climate change 1 endangered places and how to save them newsweek link,Yes,0.7797
reinvent cities to stop climate change link,Yes,1
climate change continues to melt glacier national park s icons national p link,Yes,1
climate change 1 endangered places and how to save them newsweek link,Yes,0.8165
climate change 1 endangered places and how to save them newsweek link,Yes,0.8106
abu dhabi faces climate change flood threat expert culture society arabia link,Yes,1
you and us and me china active serious in tackling climate change says vic link,Yes,0.8122
study se asia will be hit hard by climate change link,Yes,0.798
take action user help protect wildlife habitat from climate change link,Yes,1
obama china must act soon on climate change link,Yes,0.6099
if capitalism doesn t end climate change climate change will end capitalism degrowth link,Yes,1
take action user help protect wildlife habitat from climate change link,Yes,0.8123
take action user help protect wildlife habitat from climate change link,Yes,0.8221
take action user help protect wildlife habitat from climate change link,Yes,0.8878
demand congress take action on climate change pls sign the petition link,Yes,0.8305
take action user help protect wildlife habitat from climate change link,Yes,1
take action user help protect wildlife habitat from climate change link,Yes,1
carbon age is killing us climate change legislation now link,Yes,0.7971
take action user help protect wildlife habitat from climate change link,Yes,1
take action user help protect wildlife habitat from climate change link,Yes,1
government claims global warming may cause cancer link,Yes,0.6207
government claims global warming may cause cancer link,Yes,1
protect wildlife habitat from climate change link,Yes,1
take action user help protect wildlife habitat from climate change link,Yes,0.8123
plan b california braces for climate change link,Yes,0.8165
take action user help protect wildlife habitat from climate change link,Yes,0.6155
nine scenarios for imminent apocalypse only one is global warming link,Yes,0.7835
if capitalism doesn t end climate change climate change will end capitalism degrowth link,Yes,1
dc ft work for greenpeace to stop global warming 12 13 hr get involved call now 2 2 595 3368 greenpeac link,Yes,0.9174
take action user help protect wildlife habitat from climate change link,Yes,1
take action user help protect wildlife habitat from climate change link,Yes,0.8043
take action user help protect wildlife habitat from climate change link,Yes,1
take action user help protect wildlife habitat from climate change link,Yes,1
government report says global warming may cause cancer mental illness cnsnews com link,Yes,0.5864
sec warns publically held companies to advise investors of risks of climate change link,Yes,0.5768
save the whales and they ll save us from global warming link,Yes,1
al gore ira if a snake were coming up the aisle there wouldn t be a long debate about what to do and we dawdle about climate change,Yes,0.6285
we should be leaders on climate change but it is always put on the back burner link,Yes,1
got allergies by jonah goldberg blame global warming from time magazine allergies worse than ever blame link,Yes,0.8068
climate change and why your allergies are getting worse link,Yes,1
watch pbs dimming the sun for more on this npr could cleaner air actually intensify global warming more at link,Yes,0.6058
rt user people in poor countries are 2 times more likely to be affected by disasters caused by climate change than those in the developed world,Yes,1
got allergies by jonah goldberg blame global warming from time magazine allergies worse than ever blame link,Yes,0.8098
oxfam climate change devastating rural ethiopian communities link,Yes,1
alexi user believes in putting a price on global warming pollutants to spur development of alternative technology p2 ilsen,Yes,0.6058
dc ft work for greenpeace to stop global warming 12 13 hr get involved call now 2 2 595 3368 greenpeace link,Yes,0.8206
health effects are a big deal rt user impacts of climate change extend to human health link,Yes,1
climate change causing change in ocean chemistry at unprecedented rate link,Yes,1
global warming can be good for link,Yes,1
allergies worse than ever blame global warming time com link,Yes,0.7953
rt user bats birds lizards can fight climate change wired link,Yes,0.6008
for earthday global warming could affect patient symptoms link,Yes,1
just signed an earthday petition to take action on climate change via user link,Yes,1
treating climate change as a curable disease link,Yes,0.6413
global warming believe it vallejo times herald your editorial on global warming keeping the debate honest link,Yes,0.8037
see how ccx member motorola is working to be part of the solution in addressing the climate change challenge link,Yes,1
interesting point re why macro probs like global warming are never solved politicians need only solve immediate probs for re election,Yes,0.7949
rt user yet another gift from global warming increased allergy attacks link,Yes,1
global climate change effects on the mid continent download to view animations link,Yes,0.6272
are you ready for climate change if so let your lawmakers know how tell them sign petitions drop a hint,Yes,1
umc expands climate change policy and carbon emission reduction goals link,Yes,0.7894
rt user state dept declares global warming unequivocal and primarily human induced link,Yes,0.7919
allergies worse than ever blame global warming thanks to an unusually cold and snowy winter followed by an earl link,Yes,1
ridiculous giving a climate change denier a nature show keep sarah palin off discovery link,Yes,0.5906
report allergy season to get worse with climate change read from user this really sucks for me link,Yes,0.6058
coda automotive lauded for innovation and technology efforts to combat climate change and air pollution link,Yes,1
report claims climate change is to blame for increase of allergies link,Yes,0.8026
report claims climate change is to blame for increase of allergies link,Yes,0.8039
tulips in mid april in chicago love the global warming link,Yes,1
global warming will make allergies worse for 25 million americans hitting those with asthma hardest wwf climatewire globalwarming,Yes,1
85 degrees in april eh hellooo global warming nice to meet u,Yes,1
rejoice ny times mentions crop wild relatives in article about adapting agriculture to climate change link,Yes,1
u s document calls for global regime to tackle climate change link,Yes,0.8075
u s document calls for global regime to tackle climate change link,Yes,0.603
rt user rt user two more glaciers are gone from namesake nat park due to global warming usgs reports link,Yes,1
rt user feeling the heat down under when it comes to climate change erwin jackson the climate institute link,Yes,1
uk leads the way rt user schumacher college mobilising democracy to tackle climate change link,Yes,0.8159
exclusive climate change could raise cost of u s allergies link,Yes,1
sen kerry writing in the hill today u s must lead on climate change link,Yes,0.6172
fight climate change from all fronts link,Yes,0.8041
fight climate change from all fronts link,Yes,1
exclusive climate change could raise cost of u s allergies link,Yes,0.6032
fight climate change from all fronts link,Yes,1
fight climate change from all fronts link,Yes,1
fight climate change from all fronts link,Yes,0.8269
fight climate change from all fronts link,Yes,0.8235
rt user the clothing industry started global warming in the first place yvon chouinard patagonia fortunegreen,Yes,1
fight climate change from all fronts link,Yes,0.7904
fight climate change from all fronts link,Yes,0.6167
filmmaker travels the globe to find people fighting climate change link,Yes,0.5861
filmmaker travels the globe to find people fighting climate change filmmaker travels the globe to find people link,Yes,0.6723
rejoice ny times mentions crop wild relatives in article about adapting agriculture to climate change link,Yes,1
effort to remake america s energy future and fight global warming could be harmed or spurred by gulf oilspill link,Yes,1
how would catastrophic climate change change the average persons life think 1 unemployment every where on the planet for several decades,Yes,0.5889
arctic ice loss accelerating global warming research topnews new zealand global warming may be getting worse tha link,Yes,1
california taking the lead on climate change link,Yes,0.8078
plants effective way of tackling global warming washington apr 3 ani plant leaves account for less than one link,Yes,1
namibia govt to get active on climate change link,Yes,0.7871
plants effective way of tackling global warming link,Yes,1
wait here s an idea it s natural climate change not human induced global warming link,No,0.6206
just read us generals say climate change threatens america s security link,Yes,0.6007
glacial melt from global warming could unplug volcanos earthweek a diary of the planet eruptions of glacial vol link,Yes,1
off shore drilling threatens wildlife and contributes to climate change urge obama not to expand drilling link,Yes,0.6162
allgov news global warming isn t all bad if you re an in the frozen reaches of canada warmer temperature link,Yes,1
government report says global warming may cause cancer mental illness a new government report says global warmin link,Yes,0.6025
global warming picking up steam obama top science adviser says john p holdren obama s top science adviser dis link,Yes,0.6104
rt user lyme disease already costs gt 2 5 billion a year and climate change could make it even pricier link,Yes,0.8235
epa issues report on u s climate change indicators warming is having measurable effect across ecosystems link,Yes,1
report save the whales and they ll save us from global warming need more proof that global warming is the proble link,Yes,0.5966
