,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
57,b,44.33,0.5,u,g,i,h,5.0,t,f,0,t,g,00320,0,+
58,b,35.17,4.5,u,g,x,h,5.75,f,f,0,t,s,00711,0,+
59,b,43.25,3.0,u,g,q,h,6.0,t,t,11,f,g,00080,0,+
60,b,56.75,12.25,u,g,m,v,1.25,t,t,4,t,g,00200,0,+
61,b,31.67,16.165,u,g,d,v,3.0,t,t,9,f,g,00250,730,+
62,a,23.42,0.79,y,p,q,v,1.5,t,t,2,t,g,00080,400,+
63,a,20.42,0.835,u,g,q,v,1.585,t,t,1,f,g,00000,0,+
64,b,26.67,4.25,u,g,cc,v,4.29,t,t,1,t,g,00120,0,+
65,b,34.17,1.54,u,g,cc,v,1.54,t,t,1,t,g,00520,50000,+
66,a,36.00,1.0,u,g,c,v,2.0,t,t,11,f,g,00000,456,+
67,b,25.50,0.375,u,g,m,v,0.25,t,t,3,f,g,00260,15108,+
68,b,19.42,6.5,u,g,w,h,1.46,t,t,7,f,g,00080,2954,+
69,b,35.17,25.125,u,g,x,h,1.625,t,t,1,t,g,00515,500,+
70,b,32.33,7.5,u,g,e,bb,1.585,t,f,0,t,s,00420,0,-
71,b,34.83,4.0,u,g,d,bb,12.5,t,f,0,t,g,b,0,-
72,a,38.58,5.0,u,g,cc,v,13.5,t,f,0,t,g,00980,0,-
73,b,44.25,0.5,u,g,m,v,10.75,t,f,0,f,s,00400,0,-
74,b,44.83,7.0,y,p,c,v,1.625,f,f,0,f,g,00160,2,-
75,b,20.67,5.29,u,g,q,v,0.375,t,t,1,f,g,00160,0,-
76,b,34.08,6.5,u,g,aa,v,0.125,t,f,0,t,g,00443,0,-
77,a,19.17,0.585,y,p,aa,v,0.585,t,f,0,t,g,00160,0,-
78,b,21.67,1.165,y,p,k,v,2.5,t,t,1,f,g,00180,20,-
79,b,21.50,9.75,u,g,c,v,0.25,t,f,0,f,g,00140,0,-
80,b,49.58,19.0,u,g,ff,ff,0.0,t,t,1,f,g,00094,0,-
81,a,27.67,1.5,u,g,m,v,2.0,t,f,0,f,s,00368,0,-
82,b,39.83,0.5,u,g,m,v,0.25,t,f,0,f,s,00288,0,-
83,a,b,3.5,u,g,d,v,3.0,t,f,0,t,g,00300,0,-
84,b,27.25,0.625,u,g,aa,v,0.455,t,f,0,t,g,00200,0,-
85,b,37.17,4.0,u,g,c,bb,5.0,t,f,0,t,s,00280,0,-
86,b,b,0.375,u,g,d,v,0.875,t,f,0,t,s,00928,0,-
87,b,25.67,2.21,y,p,aa,v,4.0,t,f,0,f,g,00188,0,-
88,b,34.00,4.5,u,g,aa,v,1.0,t,f,0,t,g,00240,0,-
89,a,49.00,1.5,u,g,j,j,0.0,t,f,0,t,g,00100,27,-
90,b,62.50,12.75,y,p,c,h,5.0,t,f,0,f,g,00112,0,-
91,b,31.42,15.5,u,g,c,v,0.5,t,f,0,f,g,00120,0,-
92,b,b,5.0,y,p,aa,v,8.5,t,f,0,f,g,00000,0,-
93,b,52.33,1.375,y,p,c,h,9.46,t,f,0,t,g,00200,100,-
94,b,28.75,1.5,y,p,c,v,1.5,t,f,0,t,g,00000,225,-
95,a,28.58,3.54,u,g,i,bb,0.5,t,f,0,t,g,00171,0,-
96,b,23.00,0.625,y,p,aa,v,0.125,t,f,0,f,g,00180,1,-
97,b,b,0.5,u,g,c,bb,0.835,t,f,0,t,s,00320,0,-
98,a,22.50,11.0,y,p,q,v,3.0,t,f,0,t,g,00268,0,-
99,a,28.50,1.0,u,g,q,v,1.0,t,t,2,t,g,00167,500,-
100,b,37.50,1.75,y,p,c,bb,0.25,t,f,0,t,g,00164,400,-
101,b,35.25,16.5,y,p,c,v,4.0,t,f,0,f,g,00080,0,-
102,b,18.67,5.0,u,g,q,v,0.375,t,t,2,f,g,00000,38,-
103,b,25.00,12.0,u,g,k,v,2.25,t,t,2,t,g,00120,5,-
104,b,27.83,4.0,y,p,i,h,5.75,t,t,2,t,g,00075,0,-
105,b,54.83,15.5,u,g,e,z,0.0,t,t,20,f,g,00152,130,-
106,b,28.75,1.165,u,g,k,v,0.5,t,f,0,f,s,00280,0,-
107,a,25.00,11.0,y,p,aa,v,4.5,t,f,0,f,g,00120,0,-
108,b,40.92,2.25,y,p,x,h,10.0,t,f,0,t,g,00176,0,-
109,a,19.75,0.75,u,g,c,v,0.795,t,t,5,t,g,00140,5,-
110,b,29.17,3.5,u,g,w,v,3.5,t,t,3,t,g,00329,0,-
111,a,24.50,1.04,y,p,ff,ff,0.5,t,t,3,f,g,00180,147,-
112,b,24.58,12.5,u,g,w,v,0.875,t,f,0,t,g,00260,0,-
113,a,33.75,0.75,u,g,k,bb,1.0,t,t,3,t,g,00212,0,-
114,b,20.67,1.25,y,p,c,h,1.375,t,t,3,t,g,00140,210,-
115,a,25.42,1.125,u,g,q,v,1.29,t,t,2,f,g,00200,0,-
116,b,37.75,7.0,u,g,q,h,11.5,t,t,7,t,g,00300,5,-
117,b,52.50,6.5,u,g,k,v,6.29,t,t,15,f,g,00000,11202,+
118,b,57.83,7.04,u,g,m,v,14.0,t,t,6,t,g,00360,1332,+
119,a,20.75,10.335,u,g,cc,h,0.335,t,t,1,t,g,00080,50,+
120,b,39.92,6.21,u,g,q,v,0.04,t,t,1,f,g,00200,300,+
121,b,25.67,12.5,u,g,cc,v,1.21,t,t,67,t,g,00140,258,+
122,a,24.75,12.5,u,g,aa,v,1.5,t,t,12,t,g,00120,567,+
123,a,44.17,6.665,u,g,q,v,7.375,t,t,3,t,g,00000,0,+
124,a,23.50,9.0,u,g,q,v,8.5,t,t,5,t,g,00120,0,+
125,b,34.92,5.0,u,g,x,h,7.5,t,t,6,t,g,00000,1000,+
126,b,47.67,2.5,u,g,m,bb,2.5,t,t,12,t,g,00410,2510,+
127,b,22.75,11.0,u,g,q,v,2.5,t,t,7,t,g,00100,809,+
128,b,34.42,4.25,u,g,i,bb,3.25,t,t,2,f,g,00274,610,+
129,a,28.42,3.5,u,g,w,v,0.835,t,f,0,f,s,00280,0,+
130,b,67.75,5.5,u,g,e,z,13.0,t,t,1,t,g,00000,0,+
131,b,20.42,1.835,u,g,c,v,2.25,t,t,1,f,g,00100,150,+
132,a,47.42,8.0,u,g,e,bb,6.5,t,t,6,f,g,00375,51100,+
133,b,36.25,5.0,u,g,c,bb,2.5,t,t,6,f,g,00000,367,+
134,b,32.67,5.5,u,g,q,h,5.5,t,t,12,t,g,00408,1000,+
135,b,48.58,6.5,u,g,q,h,6.0,t,f,0,t,g,00350,0,+
136,b,39.92,0.54,y,p,aa,v,0.5,t,t,3,f,g,00200,1000,+
137,b,33.58,2.75,u,g,m,v,4.25,t,t,6,f,g,00204,0,+
138,a,18.83,9.5,u,g,w,v,1.625,t,t,6,t,g,00040,600,+
139,a,26.92,13.5,u,g,q,h,5.0,t,t,2,f,g,00000,5000,+
140,a,31.25,3.75,u,g,cc,h,0.625,t,t,9,t,g,00181,0,+
141,a,56.50,16.0,u,g,j,ff,0.0,t,t,15,f,g,00000,247,+
142,b,43.00,0.29,y,p,cc,h,1.75,t,t,8,f,g,00100,375,+
143,b,22.33,11.0,u,g,w,v,2.0,t,t,1,f,g,00080,278,+
144,b,27.25,1.665,u,g,cc,h,5.085,t,t,9,f,g,00399,827,+
145,b,32.83,2.5,u,g,cc,h,2.75,t,t,6,f,g,00160,2072,+
146,b,23.25,1.5,u,g,q,v,2.375,t,t,3,t,g,00000,582,+
147,a,40.33,7.54,y,p,q,h,8.0,t,t,14,f,g,00000,2300,+
148,a,30.50,6.5,u,g,c,bb,4.0,t,t,7,t,g,00000,3065,+
149,a,52.83,15.0,u,g,c,v,5.5,t,t,14,f,g,00000,2200,+
150,a,46.67,0.46,u,g,cc,h,0.415,t,t,11,t,g,00440,6,+
151,a,58.33,10.0,u,g,q,v,4.0,t,t,14,f,g,00000,1602,+
152,b,37.33,6.5,u,g,m,h,4.25,t,t,12,t,g,00093,0,+
153,b,23.08,2.5,u,g,c,v,1.085,t,t,11,t,g,00060,2184,+
154,b,32.75,1.5,u,g,cc,h,5.5,t,t,3,t,g,00000,0,+
155,a,21.67,11.5,y,p,j,j,0.0,t,t,11,t,g,00000,0,+
156,a,28.50,3.04,y,p,x,h,2.54,t,t,1,f,g,00070,0,+
157,a,68.67,15.0,u,g,e,z,0.0,t,t,14,f,g,00000,3376,+
158,b,28.00,2.0,u,g,k,h,4.165,t,t,2,t,g,00181,0,+
159,b,34.08,0.08,y,p,m,bb,0.04,t,t,1,t,g,00280,2000,+
160,b,27.67,2.0,u,g,x,h,1.0,t,t,4,f,g,00140,7544,+
161,b,44.00,2.0,u,g,m,v,1.75,t,t,2,t,g,00000,15,+
162,b,25.08,1.71,u,g,x,v,1.665,t,t,1,t,g,00395,20,+
163,b,32.00,1.75,y,p,e,h,0.04,t,f,0,t,g,00393,0,+
164,a,60.58,16.5,u,g,q,v,11.0,t,f,0,t,g,00021,10561,+
165,a,40.83,10.0,u,g,q,h,1.75,t,f,0,f,g,00029,837,+
166,b,19.33,9.5,u,g,q,v,1.0,t,f,0,t,g,00060,400,+
167,a,32.33,0.54,u,g,cc,v,0.04,t,f,0,f,g,00440,11177,+
168,b,36.67,3.25,u,g,q,h,9.0,t,f,0,t,g,00102,639,+
169,b,37.50,1.125,y,p,d,v,1.5,f,f,0,t,g,00431,0,+
170,a,25.08,2.54,y,p,aa,v,0.25,t,f,0,t,g,00370,0,+
171,b,41.33,0.0,u,g,c,bb,15.0,t,f,0,f,g,00000,0,+
172,b,56.00,12.5,u,g,k,h,8.0,t,f,0,t,g,00024,2028,+
173,a,49.83,13.585,u,g,k,h,8.5,t,f,0,t,g,00000,0,+
174,b,22.67,10.5,u,g,q,h,1.335,t,f,0,f,g,00100,0,+
175,b,27.00,1.5,y,p,w,v,0.375,t,f,0,t,g,00260,1065,+
176,b,25.00,12.5,u,g,aa,v,3.0,t,f,0,t,s,00020,0,+
177,a,26.08,8.665,u,g,aa,v,1.415,t,f,0,f,g,00160,150,+
178,a,18.42,9.25,u,g,q,v,1.21,t,t,4,f,g,00060,540,+
179,b,20.17,8.17,u,g,aa,v,1.96,t,t,14,f,g,00060,158,+
180,b,47.67,0.29,u,g,c,bb,15.0,t,t,20,f,g,00000,15000,+
181,a,21.25,2.335,u,g,i,bb,0.5,t,t,4,f,s,00080,0,+
182,a,20.67,3.0,u,g,q,v,0.165,t,t,3,f,g,00100,6,+
183,a,57.08,19.5,u,g,c,v,5.5,t,t,7,f,g,00000,3000,+
184,a,22.42,5.665,u,g,q,v,2.585,t,t,7,f,g,00129,3257,+
185,b,48.75,8.5,u,g,c,h,12.5,t,t,9,f,g,00181,1655,+
186,b,40.00,6.5,u,g,aa,bb,3.5,t,t,1,f,g,00000,500,+
187,b,40.58,5.0,u,g,c,v,5.0,t,t,7,f,g,00000,3065,+
188,a,28.67,1.04,u,g,c,v,2.5,t,t,5,t,g,00300,1430,+
189,a,33.08,4.625,u,g,q,h,1.625,t,t,2,f,g,00000,0,+
190,b,21.33,10.5,u,g,c,v,3.0,t,f,0,t,g,00000,0,+
191,b,42.00,0.205,u,g,i,h,5.125,t,f,0,f,g,00400,0,+
192,b,41.75,0.96,u,g,x,v,2.5,t,f,0,f,g,00510,600,+
193,b,22.67,1.585,y,p,w,v,3.085,t,t,6,f,g,00080,0,+
194,b,34.50,4.04,y,p,i,bb,8.5,t,t,7,t,g,00195,0,+
195,b,28.25,5.04,y,p,c,bb,1.5,t,t,8,t,g,00144,7,+
196,b,33.17,3.165,y,p,x,v,3.165,t,t,3,t,g,00380,0,+
197,b,48.17,7.625,u,g,w,h,15.5,t,t,12,f,g,00000,790,+
198,b,27.58,2.04,y,p,aa,v,2.0,t,t,3,t,g,00370,560,+
199,b,22.58,10.04,u,g,x,v,0.04,t,t,9,f,g,00060,396,+
200,a,24.08,0.5,u,g,q,h,1.25,t,t,1,f,g,00000,678,+
201,a,41.33,1.0,u,g,i,bb,2.25,t,f,0,t,g,00000,300,+
202,b,24.83,2.75,u,g,c,v,2.25,t,t,6,f,g,b,600,+
203,a,20.75,10.25,u,g,q,v,0.71,t,t,2,t,g,00049,0,+
204,b,36.33,2.125,y,p,w,v,0.085,t,t,1,f,g,00050,1187,+
205,a,35.42,12.0,u,g,q,h,14.0,t,t,8,f,g,00000,6590,+
206,a,71.58,0.0,b,b,b,b,0.0,f,f,0,f,p,b,0,+
207,b,28.67,9.335,u,g,q,h,5.665,t,t,6,f,g,00381,168,+
208,b,35.17,2.5,u,g,k,v,4.5,t,t,7,f,g,00150,1270,+
209,b,39.50,4.25,u,g,c,bb,6.5,t,t,16,f,g,00117,1210,+
210,b,39.33,5.875,u,g,cc,h,10.0,t,t,14,t,g,00399,0,+
211,b,24.33,6.625,y,p,d,v,5.5,t,f,0,t,s,00100,0,+
212,b,60.08,14.5,u,g,ff,ff,18.0,t,t,15,t,g,00000,1000,+
213,b,23.08,11.5,u,g,i,v,3.5,t,t,9,f,g,00056,742,+
214,b,26.67,2.71,y,p,cc,v,5.25,t,t,1,f,g,00211,0,+
215,b,48.17,3.5,u,g,aa,v,3.5,t,f,0,f,s,00230,0,+
216,b,41.17,4.04,u,g,cc,h,7.0,t,t,8,f,g,00320,0,+
217,b,55.92,11.5,u,g,ff,ff,5.0,t,t,5,f,g,00000,8851,+
218,b,53.92,9.625,u,g,e,v,8.665,t,t,5,f,g,00000,0,+
219,a,18.92,9.25,y,p,c,v,1.0,t,t,4,t,g,00080,500,+
220,a,50.08,12.54,u,g,aa,v,2.29,t,t,3,t,g,00156,0,+
221,b,65.42,11.0,u,g,e,z,20.0,t,t,7,t,g,00022,0,+
222,a,17.58,9.0,u,g,aa,v,1.375,t,f,0,t,g,00000,0,+
223,a,18.83,9.54,u,g,aa,v,0.085,t,f,0,f,g,00100,0,+
224,a,37.75,5.5,u,g,q,v,0.125,t,f,0,t,g,00228,0,+
225,b,23.25,4.0,u,g,c,bb,0.25,t,f,0,t,g,00160,0,+
226,b,18.08,5.5,u,g,k,v,0.5,t,f,0,f,g,00080,0,+
227,a,22.50,8.46,y,p,x,v,2.46,f,f,0,f,g,00164,0,+
228,b,19.67,0.375,u,g,q,v,2.0,t,t,2,t,g,00080,0,+
229,b,22.08,11.0,u,g,cc,v,0.665,t,f,0,f,g,00100,0,+
230,b,25.17,3.5,u,g,cc,v,0.625,t,t,7,f,g,00000,7059,+
231,a,47.42,3.0,u,g,x,v,13.875,t,t,2,t,g,00519,1704,+
232,b,33.50,1.75,u,g,x,h,4.5,t,t,4,t,g,00253,857,+
233,b,27.67,13.75,u,g,w,v,5.75,t,f,0,t,g,00487,500,+
234,a,58.42,21.0,u,g,i,bb,10.0,t,t,13,f,g,00000,6700,+
235,a,20.67,1.835,u,g,q,v,2.085,t,t,5,f,g,00220,2503,+
236,b,26.17,0.25,u,g,i,bb,0.0,t,f,0,t,g,00000,0,+
237,b,21.33,7.5,u,g,aa,v,1.415,t,t,1,f,g,00080,9800,+
238,b,42.83,4.625,u,g,q,v,4.58,t,f,0,f,s,00000,0,+
239,b,38.17,10.125,u,g,x,v,2.5,t,t,6,f,g,00520,196,+
240,b,20.50,10.0,y,p,c,v,2.5,t,f,0,f,s,00040,0,+
241,b,48.25,25.085,u,g,w,v,1.75,t,t,3,f,g,00120,14,+
242,b,28.33,5.0,u,g,w,v,11.0,t,f,0,t,g,00070,0,+
243,a,18.75,7.5,u,g,q,v,2.71,t,t,5,f,g,b,26726,+
244,b,18.50,2.0,u,g,i,v,1.5,t,t,2,f,g,00120,300,+
245,b,33.17,3.04,y,p,c,h,2.04,t,t,1,t,g,00180,18027,+
246,b,45.00,8.5,u,g,cc,h,14.0,t,t,1,t,g,00088,2000,+
247,a,19.67,0.21,u,g,q,h,0.29,t,t,11,f,g,00080,99,+
248,b,24.50,12.75,u,g,c,bb,4.75,t,t,2,f,g,00073,444,+
249,b,21.83,11.0,u,g,x,v,0.29,t,t,6,f,g,00121,0,+
250,b,40.25,21.5,u,g,e,z,20.0,t,t,11,f,g,00000,1200,+
251,b,41.42,5.0,u,g,q,h,5.0,t,t,6,t,g,00470,0,+
252,a,17.83,11.0,u,g,x,h,1.0,t,t,11,f,g,00000,3000,+
253,b,23.17,11.125,u,g,x,h,0.46,t,t,1,f,g,00100,0,+
254,b,b,0.625,u,g,k,v,0.25,f,f,0,f,g,00380,2010,-
255,b,18.17,10.25,u,g,c,h,1.085,f,f,0,f,g,00320,13,-
256,b,20.00,11.045,u,g,c,v,2.0,f,f,0,t,g,00136,0,-
257,b,20.00,0.0,u,g,d,v,0.5,f,f,0,f,g,00144,0,-
258,a,20.75,9.54,u,g,i,v,0.04,f,f,0,f,g,00200,1000,-
259,a,24.50,1.75,y,p,c,v,0.165,f,f,0,f,g,00132,0,-
260,b,32.75,2.335,u,g,d,h,5.75,f,f,0,t,g,00292,0,-
261,a,52.17,0.0,y,p,ff,ff,0.0,f,f,0,f,g,00000,0,-
262,a,48.17,1.335,u,g,i,o,0.335,f,f,0,f,g,00000,120,-
263,a,20.42,10.5,y,p,x,h,0.0,f,f,0,t,g,00154,32,-
264,b,50.75,0.585,u,g,ff,ff,0.0,f,f,0,f,g,00145,0,-
265,b,17.08,0.085,y,p,c,v,0.04,f,f,0,f,g,00140,722,-
266,b,18.33,1.21,y,p,e,dd,0.0,f,f,0,f,g,00100,0,-
267,a,32.00,6.0,u,g,d,v,1.25,f,f,0,f,g,00272,0,-
268,b,59.67,1.54,u,g,q,v,0.125,t,f,0,t,g,00260,0,+
269,b,18.00,0.165,u,g,q,n,0.21,f,f,0,f,g,00200,40,+
270,b,37.58,0.0,b,b,b,b,0.0,f,f,0,f,p,b,0,+
271,b,32.33,2.5,u,g,c,v,1.25,f,f,0,t,g,00280,0,-
272,b,18.08,6.75,y,p,m,v,0.04,f,f,0,f,g,00140,0,-
273,b,38.25,10.125,y,p,k,v,0.125,f,f,0,f,g,00160,0,-
274,b,30.67,2.5,u,g,cc,h,2.25,f,f,0,t,s,00340,0,-
275,b,18.58,5.71,u,g,d,v,0.54,f,f,0,f,g,00120,0,-
276,a,19.17,5.415,u,g,i,h,0.29,f,f,0,f,g,00080,484,-
277,a,18.17,10.0,y,p,q,h,0.165,f,f,0,f,g,00340,0,-
278,b,24.58,13.5,y,p,ff,ff,0.0,f,f,0,f,g,b,0,-
279,b,16.25,0.835,u,g,m,v,0.085,t,f,0,f,s,00200,0,-
280,b,21.17,0.875,y,p,c,h,0.25,f,f,0,f,g,00280,204,-
281,b,23.92,0.585,y,p,cc,h,0.125,f,f,0,f,g,00240,1,-
282,b,17.67,4.46,u,g,c,v,0.25,f,f,0,f,s,00080,0,-
283,a,16.50,1.25,u,g,q,v,0.25,f,t,1,f,g,00108,98,-
284,b,23.25,12.625,u,g,c,v,0.125,f,t,2,f,g,00000,5552,-
285,b,17.58,10.0,u,g,w,h,0.165,f,t,1,f,g,00120,1,-
286,a,b,1.5,u,g,ff,ff,0.0,f,t,2,t,g,00200,105,-
287,b,29.50,0.58,u,g,w,v,0.29,f,t,1,f,g,00340,2803,-
288,b,18.83,0.415,y,p,c,v,0.165,f,t,1,f,g,00200,1,-
289,a,21.75,1.75,y,p,j,j,0.0,f,f,0,f,g,00160,0,-
290,b,23.00,0.75,u,g,m,v,0.5,f,f,0,t,s,00320,0,-
291,a,18.25,10.0,u,g,w,v,1.0,f,t,1,f,g,00120,1,-
292,b,25.42,0.54,u,g,w,v,0.165,f,t,1,f,g,00272,444,-
293,b,35.75,2.415,u,g,w,v,0.125,f,t,2,f,g,00220,1,-
294,a,16.08,0.335,u,g,ff,ff,0.0,f,t,1,f,g,00160,126,-
295,a,31.92,3.125,u,g,ff,ff,3.04,f,t,2,t,g,00200,4,-
296,b,69.17,9.0,u,g,ff,ff,4.0,f,t,1,f,g,00070,6,-
297,b,32.92,2.5,u,g,aa,v,1.75,f,t,2,t,g,00720,0,-
298,b,16.33,2.75,u,g,aa,v,0.665,f,t,1,f,g,00080,21,-
299,b,22.17,12.125,u,g,c,v,3.335,f,t,2,t,g,00180,173,-
300,a,57.58,2.0,u,g,ff,ff,6.5,f,t,1,f,g,00000,10,-
301,b,18.25,0.165,u,g,d,v,0.25,f,f,0,t,s,00280,0,-
302,b,23.42,1.0,u,g,c,v,0.5,f,f,0,t,s,00280,0,-
303,a,15.92,2.875,u,g,q,v,0.085,f,f,0,f,g,00120,0,-
304,a,24.75,13.665,u,g,q,h,1.5,f,f,0,f,g,00280,1,-
305,b,48.75,26.335,y,p,ff,ff,0.0,t,f,0,t,g,00000,0,-
306,b,23.50,2.75,u,g,ff,ff,4.5,f,f,0,f,g,00160,25,-
307,b,18.58,10.29,u,g,ff,ff,0.415,f,f,0,f,g,00080,0,-
308,b,27.75,1.29,u,g,k,h,0.25,f,f,0,t,s,00140,0,-
309,a,31.75,3.0,y,p,j,j,0.0,f,f,0,f,g,00160,20,-
310,a,24.83,4.5,u,g,w,v,1.0,f,f,0,t,g,00360,6,-
311,b,19.00,1.75,y,p,c,v,2.335,f,f,0,t,g,00112,6,-
312,a,16.33,0.21,u,g,aa,v,0.125,f,f,0,f,g,00200,1,-
313,a,18.58,10.0,u,g,d,v,0.415,f,f,0,f,g,00080,42,-
314,b,16.25,0.0,y,p,aa,v,0.25,f,f,0,f,g,00060,0,-
315,b,23.00,0.75,u,g,m,v,0.5,t,f,0,t,s,00320,0,-
316,b,21.17,0.25,y,p,c,h,0.25,f,f,0,f,g,00280,204,-
317,b,17.50,22.0,l,gg,ff,o,0.0,f,f,0,t,p,00450,100000,+
318,b,19.17,0.0,y,p,m,bb,0.0,f,f,0,t,s,00500,1,+
319,b,36.75,0.125,y,p,c,v,1.5,f,f,0,t,g,00232,113,+
320,b,21.25,1.5,u,g,w,v,1.5,f,f,0,f,g,00150,8,+
321,a,18.08,0.375,l,gg,cc,ff,10.0,f,f,0,t,s,00300,0,+
322,a,33.67,0.375,u,g,cc,v,0.375,f,f,0,f,g,00300,44,+
323,b,48.58,0.205,y,p,k,v,0.25,t,t,11,f,g,00380,2732,+
324,b,33.67,1.25,u,g,w,v,1.165,f,f,0,f,g,00120,0,-
325,a,29.50,1.085,y,p,x,v,1.0,f,f,0,f,g,00280,13,-
326,b,30.17,1.085,y,p,c,v,0.04,f,f,0,f,g,00170,179,-
327,b,40.83,3.5,u,g,i,bb,0.5,f,f,0,f,s,01160,0,-
328,b,34.83,2.5,y,p,w,v,3.0,f,f,0,f,s,00200,0,-
329,b,b,4.0,y,p,i,v,0.085,f,f,0,t,g,00411,0,-
330,b,20.42,0.0,b,b,b,b,0.0,f,f,0,f,p,b,0,-
331,a,33.25,2.5,y,p,c,v,2.5,f,f,0,t,g,00000,2,-
332,b,34.08,2.5,u,g,c,v,1.0,f,f,0,f,g,00460,16,-
333,a,25.25,12.5,u,g,d,v,1.0,f,f,0,t,g,00180,1062,-
334,b,34.75,2.5,u,g,cc,bb,0.5,f,f,0,f,g,00348,0,-
